Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,TAVE (F) 
10,222,8,'437054',1894,56 
11,223,8,'437054',1894,57 
12,224,8,'437054',1894,59 
13,225,8,'437054',1894,61 
14,226,8,'437054',1894,67 
15,227,8,'437054',1894,66 
16,228,8,'437054',1894,64 
17,229,8,'437054',1894,56 
18,230,8,'437054',1894,58 
19,231,8,'437054',1894,66 
20,232,8,'437054',1894,68 
21,233,8,'437054',1894,53 
22,234,8,'437054',1894,50 
23,235,8,'437054',1894,62 
24,236,8,'437054',1894,65 
25,237,8,'437054',1894,69 
26,238,8,'437054',1894,58 
27,239,8,'437054',1894,50 
28,240,8,'437054',1894,61 
29,241,8,'437054',1894,58 
30,242,8,'437054',1894,55 
31,243,8,'437054',1894,62 
1,244,9,'437054',1894,56 
2,245,9,'437054',1894,62 
3,246,9,'437054',1894,57 
4,247,9,'437054',1894,60 
5,248,9,'437054',1894,69 
6,249,9,'437054',1894,62 
7,250,9,'437054',1894,61 
8,251,9,'437054',1894,61 
9,252,9,'437054',1894,65 
10,253,9,'437054',1894,68 
11,254,9,'437054',1894,60 
12,255,9,'437054',1894,50 
13,256,9,'437054',1894,52 
14,257,9,'437054',1894,58 
15,258,9,'437054',1894,64 
16,259,9,'437054',1894,64 
17,260,9,'437054',1894,66 
18,261,9,'437054',1894,60 
19,262,9,'437054',1894,62 
20,263,9,'437054',1894,66 
21,264,9,'437054',1894,66 
22,265,9,'437054',1894,64 
23,266,9,'437054',1894,66 
24,267,9,'437054',1894,56 
25,268,9,'437054',1894,51 
26,269,9,'437054',1894,43 
27,270,9,'437054',1894,47 
28,271,9,'437054',1894,53 
29,272,9,'437054',1894,57 
30,273,9,'437054',1894,55 
1,274,10,'437054',1894,53 
2,275,10,'437054',1894,49 
3,276,10,'437054',1894,51 
4,277,10,'437054',1894,59 
5,278,10,'437054',1894,59 
6,279,10,'437054',1894,51 
7,280,10,'437054',1894,47 
8,281,10,'437054',1894,46 
9,282,10,'437054',1894,51 
10,283,10,'437054',1894,43 
11,284,10,'437054',1894,49 
12,285,10,'437054',1894,44 
13,286,10,'437054',1894,42 
14,287,10,'437054',1894,50 
15,288,10,'437054',1894,37 
16,289,10,'437054',1894,37 
17,290,10,'437054',1894,48 
18,291,10,'437054',1894,44 
19,292,10,'437054',1894,42 
20,293,10,'437054',1894,50 
21,294,10,'437054',1894,54 
22,295,10,'437054',1894,50 
23,296,10,'437054',1894,52 
24,297,10,'437054',1894,47 
25,298,10,'437054',1894,48 
26,299,10,'437054',1894,51 
27,300,10,'437054',1894,48 
28,301,10,'437054',1894,48 
29,302,10,'437054',1894,46 
30,303,10,'437054',1894,45 
31,304,10,'437054',1894,52 
1,305,11,'437054',1894,50 
2,306,11,'437054',1894,46 
3,307,11,'437054',1894,47 
4,308,11,'437054',1894,45 
5,309,11,'437054',1894,36 
6,310,11,'437054',1894,30 
7,311,11,'437054',1894,28 
8,312,11,'437054',1894,26 
9,313,11,'437054',1894,29 
10,314,11,'437054',1894,33 
11,315,11,'437054',1894,31 
12,316,11,'437054',1894,26 
13,317,11,'437054',1894,17 
14,318,11,'437054',1894,32 
15,319,11,'437054',1894,33 
16,320,11,'437054',1894,38 
17,321,11,'437054',1894,39 
18,322,11,'437054',1894,26 
19,323,11,'437054',1894,26 
20,324,11,'437054',1894,14 
21,325,11,'437054',1894,30 
22,326,11,'437054',1894,36 
23,327,11,'437054',1894,33 
24,328,11,'437054',1894,37 
25,329,11,'437054',1894,31 
26,330,11,'437054',1894,19 
27,331,11,'437054',1894,29 
28,332,11,'437054',1894,17 
29,333,11,'437054',1894,14 
30,334,11,'437054',1894,10 
1,335,12,'437054',1894,23 
2,336,12,'437054',1894,28 
3,337,12,'437054',1894,22 
4,338,12,'437054',1894,26 
5,339,12,'437054',1894,30 
6,340,12,'437054',1894,32 
7,341,12,'437054',1894,23 
8,342,12,'437054',1894,28 
9,343,12,'437054',1894,26 
10,344,12,'437054',1894,22 
11,345,12,'437054',1894,17 
12,346,12,'437054',1894,33 
13,347,12,'437054',1894,37 
14,348,12,'437054',1894,32 
15,349,12,'437054',1894,28 
16,350,12,'437054',1894,30 
17,351,12,'437054',1894,38 
18,352,12,'437054',1894,28 
19,353,12,'437054',1894,21 
20,354,12,'437054',1894,29 
21,355,12,'437054',1894,26 
22,356,12,'437054',1894,32 
23,357,12,'437054',1894,15 
24,358,12,'437054',1894,8 
25,359,12,'437054',1894,28 
26,360,12,'437054',1894,13 
27,361,12,'437054',1894,16 
28,362,12,'437054',1894,-1 
29,363,12,'437054',1894,-7 
30,364,12,'437054',1894,-8 
31,365,12,'437054',1894,-2 
1,1,1,'437054',1895,-4 
2,2,1,'437054',1895,6 
3,3,1,'437054',1895,-1 
4,4,1,'437054',1895,14 
5,5,1,'437054',1895,-4 
6,6,1,'437054',1895,5 
7,7,1,'437054',1895,23 
8,8,1,'437054',1895,33 
9,9,1,'437054',1895,23 
10,10,1,'437054',1895,10 
11,11,1,'437054',1895,30 
12,12,1,'437054',1895,37 
13,13,1,'437054',1895,37 
14,14,1,'437054',1895,22 
15,15,1,'437054',1895,16 
16,16,1,'437054',1895,23 
17,17,1,'437054',1895,23 
18,18,1,'437054',1895,14 
19,19,1,'437054',1895,7 
20,20,1,'437054',1895,16 
21,21,1,'437054',1895,16 
22,22,1,'437054',1895,31 
23,23,1,'437054',1895,21 
24,24,1,'437054',1895,18 
25,25,1,'437054',1895,1 
26,26,1,'437054',1895,15 
27,27,1,'437054',1895,23 
28,28,1,'437054',1895,15 
29,29,1,'437054',1895,11 
30,30,1,'437054',1895,6 
31,31,1,'437054',1895,13 
1,32,2,'437054',1895,20 
2,33,2,'437054',1895,22 
3,34,2,'437054',1895,14 
4,35,2,'437054',1895,17 
5,36,2,'437054',1895,-5 
6,37,2,'437054',1895,-14 
7,38,2,'437054',1895,-8 
8,39,2,'437054',1895,8 
9,40,2,'437054',1895,-3 
10,41,2,'437054',1895,4 
11,42,2,'437054',1895,20 
12,43,2,'437054',1895,24 
13,44,2,'437054',1895,23 
14,45,2,'437054',1895,22 
15,46,2,'437054',1895,19 
16,47,2,'437054',1895,20 
17,48,2,'437054',1895,18 
18,49,2,'437054',1895,26 
19,50,2,'437054',1895,26 
20,51,2,'437054',1895,20 
21,52,2,'437054',1895,19 
22,53,2,'437054',1895,13 
23,54,2,'437054',1895,3 
24,55,2,'437054',1895,6 
25,56,2,'437054',1895,26 
26,57,2,'437054',1895,24 
27,58,2,'437054',1895,7 
28,59,2,'437054',1895,29 
1,60,3,'437054',1895,38 
2,61,3,'437054',1895,29 
3,62,3,'437054',1895,11 
4,63,3,'437054',1895,17 
5,64,3,'437054',1895,13 
6,65,3,'437054',1895,12 
7,66,3,'437054',1895,27 
8,67,3,'437054',1895,38 
9,68,3,'437054',1895,30 
10,69,3,'437054',1895,27 
11,70,3,'437054',1895,15 
12,71,3,'437054',1895,16 
13,72,3,'437054',1895,33 
14,73,3,'437054',1895,25 
15,74,3,'437054',1895,9 
16,75,3,'437054',1895,23 
17,76,3,'437054',1895,19 
18,77,3,'437054',1895,18 
19,78,3,'437054',1895,24 
20,79,3,'437054',1895,19 
21,80,3,'437054',1895,18 
22,81,3,'437054',1895,30 
23,82,3,'437054',1895,28 
24,83,3,'437054',1895,30 
25,84,3,'437054',1895,32 
26,85,3,'437054',1895,33 
27,86,3,'437054',1895,30 
28,87,3,'437054',1895,32 
29,88,3,'437054',1895,27 
30,89,3,'437054',1895,24 
31,90,3,'437054',1895,22 
1,91,4,'437054',1895,27 
2,92,4,'437054',1895,35 
3,93,4,'437054',1895,36 
4,94,4,'437054',1895,31 
5,95,4,'437054',1895,29 
6,96,4,'437054',1895,32 
7,97,4,'437054',1895,34 
8,98,4,'437054',1895,41 
9,99,4,'437054',1895,47 
10,100,4,'437054',1895,41 
11,101,4,'437054',1895,26 
12,102,4,'437054',1895,34 
13,103,4,'437054',1895,41 
14,104,4,'437054',1895,45 
15,105,4,'437054',1895,44 
16,106,4,'437054',1895,44 
17,107,4,'437054',1895,45 
18,108,4,'437054',1895,42 
19,109,4,'437054',1895,48 
20,110,4,'437054',1895,50 
21,111,4,'437054',1895,46 
22,112,4,'437054',1895,47 
23,113,4,'437054',1895,41 
24,114,4,'437054',1895,47 
25,115,4,'437054',1895,51 
26,116,4,'437054',1895,45 
27,117,4,'437054',1895,49 
28,118,4,'437054',1895,46 
29,119,4,'437054',1895,50 
30,120,4,'437054',1895,55 
1,121,5,'437054',1895,49 
2,122,5,'437054',1895,52 
3,123,5,'437054',1895,64 
4,124,5,'437054',1895,65 
5,125,5,'437054',1895,67 
6,126,5,'437054',1895,66 
7,127,5,'437054',1895,70 
8,128,5,'437054',1895,68 
9,129,5,'437054',1895,70 
10,130,5,'437054',1895,68 
11,131,5,'437054',1895,73 
12,132,5,'437054',1895,68 
13,133,5,'437054',1895,46 
14,134,5,'437054',1895,44 
15,135,5,'437054',1895,48 
16,136,5,'437054',1895,46 
17,137,5,'437054',1895,46 
18,138,5,'437054',1895,51 
19,139,5,'437054',1895,51 
20,140,5,'437054',1895,51 
21,141,5,'437054',1895,48 
22,142,5,'437054',1895,47 
23,143,5,'437054',1895,50 
24,144,5,'437054',1895,56 
25,145,5,'437054',1895,61 
26,146,5,'437054',1895,67 
27,147,5,'437054',1895,64 
28,148,5,'437054',1895,55 
29,149,5,'437054',1895,61 
30,150,5,'437054',1895,67 
31,151,5,'437054',1895,73 
1,152,6,'437054',1895,69 
2,153,6,'437054',1895,74 
3,154,6,'437054',1895,61 
4,155,6,'437054',1895,63 
5,156,6,'437054',1895,64 
6,157,6,'437054',1895,64 
7,158,6,'437054',1895,62 
8,159,6,'437054',1895,60 
9,160,6,'437054',1895,65 
10,161,6,'437054',1895,73 
11,162,6,'437054',1895,74 
12,163,6,'437054',1895,73 
13,164,6,'437054',1895,74 
14,165,6,'437054',1895,70 
15,166,6,'437054',1895,67 
16,167,6,'437054',1895,60 
17,168,6,'437054',1895,64 
18,169,6,'437054',1895,66 
19,170,6,'437054',1895,69 
20,171,6,'437054',1895,70 
21,172,6,'437054',1895,73 
22,173,6,'437054',1895,69 
23,174,6,'437054',1895,70 
24,175,6,'437054',1895,66 
25,176,6,'437054',1895,69 
26,177,6,'437054',1895,68 
27,178,6,'437054',1895,70 
28,179,6,'437054',1895,64 
29,180,6,'437054',1895,70 
30,181,6,'437054',1895,67 
1,182,7,'437054',1895,66 
2,183,7,'437054',1895,59 
3,184,7,'437054',1895,61 
4,185,7,'437054',1895,67 
5,186,7,'437054',1895,71 
6,187,7,'437054',1895,64 
7,188,7,'437054',1895,71 
8,189,7,'437054',1895,76 
9,190,7,'437054',1895,78 
10,191,7,'437054',1895,70 
11,192,7,'437054',1895,57 
12,193,7,'437054',1895,62 
13,194,7,'437054',1895,66 
14,195,7,'437054',1895,67 
15,196,7,'437054',1895,64 
16,197,7,'437054',1895,62 
17,198,7,'437054',1895,68 
18,199,7,'437054',1895,66 
19,200,7,'437054',1895,62 
20,201,7,'437054',1895,73 
21,202,7,'437054',1895,76 
22,203,7,'437054',1895,73 
23,204,7,'437054',1895,69 
24,205,7,'437054',1895,64 
25,206,7,'437054',1895,67 
26,207,7,'437054',1895,64 
27,208,7,'437054',1895,58 
28,209,7,'437054',1895,64 
29,210,7,'437054',1895,59 
30,211,7,'437054',1895,61 
31,212,7,'437054',1895,57 
1,213,8,'437054',1895,60 
2,214,8,'437054',1895,62 
3,215,8,'437054',1895,59 
4,216,8,'437054',1895,66 
5,217,8,'437054',1895,69 
6,218,8,'437054',1895,67 
7,219,8,'437054',1895,73 
8,220,8,'437054',1895,66 
9,221,8,'437054',1895,66 
10,222,8,'437054',1895,64 
11,223,8,'437054',1895,66 
12,224,8,'437054',1895,64 
13,225,8,'437054',1895,72 
14,226,8,'437054',1895,64 
15,227,8,'437054',1895,63 
16,228,8,'437054',1895,66 
17,229,8,'437054',1895,64 
18,230,8,'437054',1895,70 
19,231,8,'437054',1895,62 
20,232,8,'437054',1895,56 
21,233,8,'437054',1895,52 
22,234,8,'437054',1895,51 
23,235,8,'437054',1895,62 
24,236,8,'437054',1895,66 
25,237,8,'437054',1895,66 
26,238,8,'437054',1895,59 
27,239,8,'437054',1895,68 
28,240,8,'437054',1895,67 
29,241,8,'437054',1895,66 
30,242,8,'437054',1895,62 
31,243,8,'437054',1895,59 
1,244,9,'437054',1895,56 
2,245,9,'437054',1895,52 
3,246,9,'437054',1895,57 
4,247,9,'437054',1895,65 
5,248,9,'437054',1895,68 
6,249,9,'437054',1895,68 
7,250,9,'437054',1895,63 
8,251,9,'437054',1895,65 
9,252,9,'437054',1895,53 
10,253,9,'437054',1895,59 
11,254,9,'437054',1895,62 
12,255,9,'437054',1895,70 
13,256,9,'437054',1895,59 
14,257,9,'437054',1895,45 
15,258,9,'437054',1895,44 
16,259,9,'437054',1895,47 
17,260,9,'437054',1895,55 
18,261,9,'437054',1895,50 
19,262,9,'437054',1895,57 
20,263,9,'437054',1895,63 
21,264,9,'437054',1895,71 
22,265,9,'437054',1895,72 
23,266,9,'437054',1895,72 
24,267,9,'437054',1895,67 
25,268,9,'437054',1895,51 
26,269,9,'437054',1895,60 
27,270,9,'437054',1895,57 
28,271,9,'437054',1895,49 
29,272,9,'437054',1895,52 
30,273,9,'437054',1895,53 
1,274,10,'437054',1895,45 
2,275,10,'437054',1895,47 
3,276,10,'437054',1895,50 
4,277,10,'437054',1895,49 
5,278,10,'437054',1895,47 
6,279,10,'437054',1895,47 
7,280,10,'437054',1895,47 
8,281,10,'437054',1895,53 
9,282,10,'437054',1895,41 
10,283,10,'437054',1895,39 
11,284,10,'437054',1895,39 
12,285,10,'437054',1895,46 
13,286,10,'437054',1895,54 
14,287,10,'437054',1895,47 
15,288,10,'437054',1895,38 
16,289,10,'437054',1895,34 
17,290,10,'437054',1895,42 
18,291,10,'437054',1895,32 
19,292,10,'437054',1895,44 
20,293,10,'437054',1895,43 
21,294,10,'437054',1895,33 
22,295,10,'437054',1895,35 
23,296,10,'437054',1895,43 
24,297,10,'437054',1895,33 
25,298,10,'437054',1895,35 
26,299,10,'437054',1895,35 
27,300,10,'437054',1895,44 
28,301,10,'437054',1895,54 
29,302,10,'437054',1895,39 
30,303,10,'437054',1895,31 
31,304,10,'437054',1895,27 
1,305,11,'437054',1895,38 
2,306,11,'437054',1895,36 
3,307,11,'437054',1895,30 
4,308,11,'437054',1895,33 
5,309,11,'437054',1895,41 
6,310,11,'437054',1895,39 
7,311,11,'437054',1895,44 
8,312,11,'437054',1895,56 
9,313,11,'437054',1895,50 
10,314,11,'437054',1895,39 
11,315,11,'437054',1895,31 
12,316,11,'437054',1895,29 
13,317,11,'437054',1895,33 
14,318,11,'437054',1895,35 
15,319,11,'437054',1895,41 
16,320,11,'437054',1895,39 
17,321,11,'437054',1895,34 
18,322,11,'437054',1895,40 
19,323,11,'437054',1895,42 
20,324,11,'437054',1895,45 
21,325,11,'437054',1895,16 
22,326,11,'437054',1895,10 
23,327,11,'437054',1895,25 
24,328,11,'437054',1895,34 
25,329,11,'437054',1895,23 
26,330,11,'437054',1895,43 
27,331,11,'437054',1895,32 
28,332,11,'437054',1895,30 
29,333,11,'437054',1895,32 
30,334,11,'437054',1895,29 
1,335,12,'437054',1895,19 
2,336,12,'437054',1895,33 
3,337,12,'437054',1895,27 
4,338,12,'437054',1895,13 
5,339,12,'437054',1895,14 
6,340,12,'437054',1895,17 
7,341,12,'437054',1895,14 
8,342,12,'437054',1895,19 
9,343,12,'437054',1895,8 
10,344,12,'437054',1895,6 
11,345,12,'437054',1895,13 
12,346,12,'437054',1895,4 
13,347,12,'437054',1895,-4 
14,348,12,'437054',1895,4 
15,349,12,'437054',1895,11 
16,350,12,'437054',1895,25 
17,351,12,'437054',1895,10 
18,352,12,'437054',1895,27 
19,353,12,'437054',1895,34 
20,354,12,'437054',1895,40 
21,355,12,'437054',1895,37 
22,356,12,'437054',1895,43 
23,357,12,'437054',1895,38 
24,358,12,'437054',1895,38 
25,359,12,'437054',1895,35 
26,360,12,'437054',1895,42 
27,361,12,'437054',1895,42 
28,362,12,'437054',1895,28 
29,363,12,'437054',1895,28 
30,364,12,'437054',1895,28 
31,365,12,'437054',1895,41 
1,1,1,'437054',1896,26 
2,2,1,'437054',1896,26 
3,3,1,'437054',1896,30 
4,4,1,'437054',1896,12 
5,5,1,'437054',1896,-6 
6,6,1,'437054',1896,-14 
7,7,1,'437054',1896,-10 
8,8,1,'437054',1896,1 
9,9,1,'437054',1896,7 
10,10,1,'437054',1896,18 
11,11,1,'437054',1896,10 
12,12,1,'437054',1896,7 
13,13,1,'437054',1896,22 
14,14,1,'437054',1896,19 
15,15,1,'437054',1896,23 
16,16,1,'437054',1896,12 
17,17,1,'437054',1896,22 
18,18,1,'437054',1896,21 
19,19,1,'437054',1896,22 
20,20,1,'437054',1896,20 
21,21,1,'437054',1896,22 
22,22,1,'437054',1896,23 
23,23,1,'437054',1896,23 
24,24,1,'437054',1896,23 
25,25,1,'437054',1896,35 
26,26,1,'437054',1896,28 
27,27,1,'437054',1896,28 
28,28,1,'437054',1896,12 
29,29,1,'437054',1896,-3 
30,30,1,'437054',1896,17 
31,31,1,'437054',1896,8 
1,32,2,'437054',1896,20 
2,33,2,'437054',1896,27 
3,34,2,'437054',1896,15 
4,35,2,'437054',1896,18 
5,36,2,'437054',1896,29 
6,37,2,'437054',1896,34 
7,38,2,'437054',1896,36 
8,39,2,'437054',1896,32 
9,40,2,'437054',1896,26 
10,41,2,'437054',1896,23 
11,42,2,'437054',1896,23 
12,43,2,'437054',1896,19 
13,44,2,'437054',1896,11 
14,45,2,'437054',1896,19 
15,46,2,'437054',1896,12 
16,47,2,'437054',1896,9 
17,48,2,'437054',1896,-14 
18,49,2,'437054',1896,-13 
19,50,2,'437054',1896,7 
20,51,2,'437054',1896,18 
21,52,2,'437054',1896,10 
22,53,2,'437054',1896,3 
23,54,2,'437054',1896,9 
24,55,2,'437054',1896,29 
25,56,2,'437054',1896,11 
26,57,2,'437054',1896,-3 
27,58,2,'437054',1896,9 
28,59,2,'437054',1896,26 
29,60,2,'437054',1896,40 
1,61,3,'437054',1896,44 
2,62,3,'437054',1896,34 
3,63,3,'437054',1896,20 
4,64,3,'437054',1896,11 
5,65,3,'437054',1896,12 
6,66,3,'437054',1896,23 
7,67,3,'437054',1896,31 
8,68,3,'437054',1896,29 
9,69,3,'437054',1896,20 
10,70,3,'437054',1896,17 
11,71,3,'437054',1896,10 
12,72,3,'437054',1896,19 
13,73,3,'437054',1896,10 
14,74,3,'437054',1896,3 
15,75,3,'437054',1896,8 
16,76,3,'437054',1896,20 
17,77,3,'437054',1896,29 
18,78,3,'437054',1896,19 
19,79,3,'437054',1896,29 
20,80,3,'437054',1896,30 
21,81,3,'437054',1896,23 
22,82,3,'437054',1896,33 
23,83,3,'437054',1896,14 
24,84,3,'437054',1896,6 
25,85,3,'437054',1896,19 
26,86,3,'437054',1896,42 
27,87,3,'437054',1896,30 
28,88,3,'437054',1896,23 
29,89,3,'437054',1896,18 
30,90,3,'437054',1896,36 
31,91,3,'437054',1896,37 
1,92,4,'437054',1896,30 
2,93,4,'437054',1896,34 
3,94,4,'437054',1896,27 
4,95,4,'437054',1896,23 
5,96,4,'437054',1896,30 
6,97,4,'437054',1896,34 
7,98,4,'437054',1896,36 
8,99,4,'437054',1896,31 
9,100,4,'437054',1896,32 
10,101,4,'437054',1896,33 
11,102,4,'437054',1896,37 
12,103,4,'437054',1896,40 
13,104,4,'437054',1896,53 
14,105,4,'437054',1896,51 
15,106,4,'437054',1896,50 
16,107,4,'437054',1896,56 
17,108,4,'437054',1896,58 
18,109,4,'437054',1896,58 
19,110,4,'437054',1896,56 
20,111,4,'437054',1896,59 
21,112,4,'437054',1896,56 
22,113,4,'437054',1896,43 
23,114,4,'437054',1896,43 
24,115,4,'437054',1896,44 
25,116,4,'437054',1896,44 
26,117,4,'437054',1896,50 
27,118,4,'437054',1896,50 
28,119,4,'437054',1896,54 
29,120,4,'437054',1896,50 
30,121,4,'437054',1896,46 
1,153,6,'437054',1896,55 
2,154,6,'437054',1896,53 
3,155,6,'437054',1896,57 
4,156,6,'437054',1896,64 
5,157,6,'437054',1896,64 
6,158,6,'437054',1896,66 
7,159,6,'437054',1896,62 
8,160,6,'437054',1896,56 
9,161,6,'437054',1896,59 
10,162,6,'437054',1896,63 
11,163,6,'437054',1896,54 
12,164,6,'437054',1896,55 
13,165,6,'437054',1896,53 
14,166,6,'437054',1896,57 
15,167,6,'437054',1896,58 
16,168,6,'437054',1896,62 
17,169,6,'437054',1896,62 
18,170,6,'437054',1896,68 
19,171,6,'437054',1896,70 
20,172,6,'437054',1896,72 
21,173,6,'437054',1896,70 
22,174,6,'437054',1896,70 
23,175,6,'437054',1896,60 
24,176,6,'437054',1896,64 
25,177,6,'437054',1896,63 
26,178,6,'437054',1896,70 
27,179,6,'437054',1896,64 
28,180,6,'437054',1896,67 
29,181,6,'437054',1896,67 
30,182,6,'437054',1896,59 
1,183,7,'437054',1896,69 
2,184,7,'437054',1896,71 
3,185,7,'437054',1896,73 
4,186,7,'437054',1896,67 
5,187,7,'437054',1896,62 
6,188,7,'437054',1896,66 
7,189,7,'437054',1896,69 
8,190,7,'437054',1896,63 
9,191,7,'437054',1896,69 
10,192,7,'437054',1896,77 
11,193,7,'437054',1896,72 
12,194,7,'437054',1896,73 
13,195,7,'437054',1896,73 
14,196,7,'437054',1896,69 
15,197,7,'437054',1896,67 
16,198,7,'437054',1896,66 
17,199,7,'437054',1896,65 
18,200,7,'437054',1896,63 
19,201,7,'437054',1896,67 
20,202,7,'437054',1896,73 
21,203,7,'437054',1896,76 
22,204,7,'437054',1896,74 
23,205,7,'437054',1896,74 
24,206,7,'437054',1896,61 
25,207,7,'437054',1896,66 
26,208,7,'437054',1896,65 
27,209,7,'437054',1896,66 
28,210,7,'437054',1896,71 
29,211,7,'437054',1896,72 
30,212,7,'437054',1896,73 
31,213,7,'437054',1896,70 
1,214,8,'437054',1896,57 
2,215,8,'437054',1896,65 
3,216,8,'437054',1896,66 
4,217,8,'437054',1896,69 
5,218,8,'437054',1896,72 
6,219,8,'437054',1896,65 
7,220,8,'437054',1896,75 
8,221,8,'437054',1896,73 
9,222,8,'437054',1896,77 
10,223,8,'437054',1896,74 
11,224,8,'437054',1896,77 
